position,bounciness,size,bucket
781,0.511968593,16,7
781,0.511968593,16,8
626,0.548770709,16,7
162,0.541335227,16,4
449,0.507201327,16,9
223,0.52287842,16,6
232,0.549262864,16,5
379,0.509795246,16,7
379,0.509795246,16,8
416,0.52224402,16,3
531,0.505675538,16,5
206,0.519590717,16,1
410,0.518258817,16,3
473,0.50417789,16,8
99,0.524766085,16,4
19,0.500977824,16,3
149,0.519135851,16,4
69,0.517993694,16,3
239,0.524178133,16,6
229,0.501421386,16,6
348,0.517028303,16,1
696,0.525070448,16,6
89,0.518228645,16,4
557,0.504929382,16,4
673,0.540003641,16,7
14,0.522119373,16,2
136,0.528304705,16,1
372,0.505040491,16,5
399,0.532725483,16,3
25,0.516669615,16,2
525,0.523497804,16,4
703,0.549582709,16,7
95,0.53696525,16,4
639,0.536729499,16,6
639,0.536729499,16,7
731,0.500381808,16,8
22,0.509310528,16,1
29,0.50492149,16,3
266,0.544341699,16,5
421,0.507074201,16,8
436,0.52803531,16,7
512,0.540377841,16,9
523,0.54485399,16,8
767,0.503086927,16,6
48,0.529736101,16,3
159,0.504029811,16,5
582,0.511749508,16,7
766,0.535062643,16,7
165,0.53318721,16,3
405,0.548840753,16,9
482,0.533996159,16,3
576,0.541749508,16,7
622,0.539525993,16,5
57,0.529627277,16,5
267,0.533392013,16,6
276,0.537740621,16,2
302,0.532518772,16,5
309,0.54212548,16,7
346,0.53275451,16,2
490,0.524810753,16,2
490,0.524810753,16,3
652,0.514421054,16,8
114,0.5284777,16,1
114,0.5284777,16,2
454,0.510736663,16,3
503,0.523223626,16,9
509,0.537673509,16,4
599,0.506959059,16,4
686,0.538353291,16,9
774,0.541341942,16,8
26,0.515916804,16,1
68,0.534608926,16,2
140,0.503569613,16,3
420,0.523137438,16,3
442,0.528255617,16,7
580,0.524683197,16,8
761,0.541971142,16,9
35,0.545944853,16,2
158,0.501229082,16,4
161,0.536640849,16,1
236,0.508631634,16,3
304,0.507843668,16,6
455,0.5484004,16,5
486,0.527241388,16,3
589,0.500855724,16,10
669,0.511832471,16,5
690,0.516315945,16,7
697,0.513525881,16,10
724,0.54723541,16,8
735,0.547622141,16,8
226,0.531007243,16,3
231,0.536357005,16,1
235,0.536687129,16,6
433,0.511476382,16,3
651,0.520600172,16,8
733,0.537779194,16,9
62,0.537173394,16,2
146,0.505145352,16,2
195,0.536340362,16,3
495,0.533524431,16,8
515,0.536750219,16,10
521,0.518439276,16,6
633,0.549264517,16,6
739,0.511505358,16,6
169,0.516603378,16,6
301,0.529579254,16,3
336,0.545281539,16,6
422,0.505782982,16,6
480,0.500343959,16,5
646,0.542961533,16,8
649,0.536845872,16,7
721,0.500161645,16,9
721,0.500161645,16,10
723,0.547863274,16,8
87,0.524561582,16,1
